Step #,Step,Tech,Notes
1,User shares data source and indicates: feedback column · unique ID column · # of rows to analyse,Claude Code chat,"Paste a local CSV path + column names + row count in the chat. No files written."
2,Prepare output.csv,Python (pipeline.prepare_output) — run by Claude in chat,"Reads source CSV · filters blank quotes · takes first N rows (no shuffle) · writes output.csv with columns: row_number · id · quote · tag (empty). File written: output.csv → /project/output.csv."
3,Print unique tags from approved-records.csv,Python (pipeline.print_unique_tags) — run by Claude in chat,"Reads approved-records.csv and prints all unique tags. If file does not exist or is empty prints 'no existing tags'. No files written."
4,Claude asks for additional instructions,Claude in chat,"Claude asks the user for any guidance: rename a tag everywhere · remove a tag everywhere · add a new tag · tips on tag naming format or level of detail. User responds in chat."
5,Apply user-requested tag changes,Python (pipeline.apply_tag_changes) — run by Claude in chat,"Applies any renames or removals from step 4 to both approved-records.csv and output.csv (if they exist). Files updated: approved-records.csv · output.csv."
6,Build reference-tags.json,Python (pipeline.build_reference_tags) — run by Claude in chat,"Reads approved-records.csv · takes 1–3 example quotes per tag · adds instructions from step 4. File written: reference-tags.json. Structure: { instructions: [string ...] · tags: [{ tag · examples }] }."
7,Pre-tag rows already in approved-records.csv,Python (pipeline.apply_pretags) — run by Claude in chat,"Matches each row in output.csv to approved-records.csv by unique ID. Where IDs match copies the existing tag into output.csv. File updated: output.csv. Prints count of pre-tagged rows."
8,AI assigns tags to remaining untagged rows,Claude AI (in chat — no API key needed),"Claude calls get_untagged_rows() · reads reference-tags.json · assigns a tag to each quote using instructions and examples as reference · creates new tags when no existing tag fits · calls save_tags() to write results. File updated: output.csv."
9,Print tag summary,Python (pipeline.print_tag_summary) — run by Claude in chat,"Prints unique tag list and occurrence counts from output.csv. No files written."
10,Tell user to refresh the app,Claude in chat,"Claude tells the user the analysis is complete and to refresh the browser. No files written."
11,Display output.csv in app,FastAPI (server.py) + Alpine.js (static/index.html),"Start server once: uvicorn server:app --reload → open http://localhost:8000. App reads output.csv via GET /api/data. Left pane: unique tag list. Right pane: table (row_number · id · quote · tag)."
12,User edits tags in the right pane,Alpine.js (browser — no page reload),"Edit any tag cell inline. New tags sync to the left-pane list automatically. No files written until step 15 or 16."
13,User edits tags in the left pane,Alpine.js (browser — no page reload),"Rename or remove a tag in the textarea then click Apply — cascades to all matching rows instantly. No files written until step 15 or 16."
14,Filter rows,Alpine.js (browser — no page reload),"Row range filter (from / to row_number) and tag filter work independently or together. Useful for reviewing only newly added rows. No files written."
15,Save to approved-records.csv,Alpine.js → POST /api/save_approved,"User clicks Save to approved-records.csv. File overwritten: approved-records.csv (columns: id · quote · tag)."
16,Save & download output.csv,Alpine.js → POST /api/save_output then GET /download/output.csv,"User clicks Save & download output.csv. File overwritten: output.csv (columns: row_number · id · quote · tag) then browser download triggered."
17,Clear all files,Alpine.js → DELETE /api/clear,"User clicks Clear all files. Files deleted: output.csv · approved-records.csv · reference-tags.json. App returns to waiting screen."
